code,stop_name,street_name,lat,lng,route
KL38,KL38 COLISEUM,JLN TAR,3.152992873,101.6966014,151;171;173;180;190;202;220;250
KL114,KL114 DATARAN MERDEKA,JLN RAJA,3.149162,101.694376,151;171;173;190;220;250
KL1934,KL1934 MUZIUM TEKSTIL NEGARA,LEBOH PASAR BESAR,3.147136,101.69481,151;171;173;190;202;220;250
KL103,KL103 MAYBANK,JLN HANG LEKIU,3.14694,101.69683,151;190
SL294,SL294 HAB WIRA DAMAI,JLN PINGGIRAN BT CAVES,3.251574,101.684494,170;171;202;T201
SL182,SL182 PANGSAPURI KENANGA,JLN GP 2,3.251424,101.686069,170;171;202;T201
SL183,SL183 PANGSAPURI CEMPAKA,JLN PINGGIRAN BT CAVES,3.251457,101.689126,170;171;202;T201
SL184,SL184 KG MELAYU WIRA DAMAI,LEBUH UTAMA SRI GOMBAK,3.250418,101.691821,170;171;202;T201
SL309,SL309 PANGSAPURI SAUJANA GOMBAK,JLN PINGGIRAN BT CAVES,3.250452,101.693143,170;171;202;T201
SL185,SL185 PINGGIRAN BT CAVES (SELATAN),LEBUHRAYA PINGGIRAN,3.251999,101.693785,170
SL786,SL786 MEDAN SELERA PINGGIRAN,LEBUHRAYA PINGGIRAN,3.254193,101.693863,170
SL189,SL189 MEDAN SELERA PINGGIRAN,LEBUHRAYA PINGGIRAN,3.254757,101.693983,170;BET17
SL191,SL191 PINGGIRAN BT CAVES (SELATAN),LEBUHRAYA PINGGIRAN,3.252533,101.693927,170;BET17
SL192,SL192 FLAT TAMAN PINGGIRAN,LEBUH UTAMA SRI GOMBAK,3.250371,101.694328,170;171;202;BET17;T201
SL205,SL205 SK TAMAN SERI GOMBAK 2 (OPP),LEBUHRAYA PINGGIRAN,3.242092,101.69966,170;BET17
SL207,SL207 DEWAN BERINGIN GOMBAK (OPP),L/UTAMA SRI GOMBAK,3.239821788,101.6997026,170;171;202;BET17;T201
SL506,SL506 TAMAN PRIMA SRI GOMBAK,L/UTAMA SRI GOMBAK,3.236721,101.699731,170;T201
SL470,SL470 MASJID AR-RAHIMAH,JLN L/RAYA KARAK,3.232623063,101.7011859,170
SL471,SL471 SRA RAKYAT DARUL MUJAHIDIN,DUKE,3.227004655,101.6977244,170
KL1796,KL1796 TAMAN KOPERASI POLIS 1,DUKE,3.219629222,101.6941185,170
KL1794,KL1794 TAMAN PELANGI,DUKE,3.207884716,101.6936555,170
KL989,KL989 KG CHUBADAK HULU (SELATAN),JLN KG BANDAR DALAM,3.201064,101.694566,170;201
KL991,KL991 KG CHUBADAK TAMBAHAN,JLN KG BANDAR DALAM,3.199427,101.692432,170;201
KL642,KL642 SJKC PENG MING,JLN SENTUL,3.196942,101.690959,170;171;201
KL2063,KL2063 SPG DATO SENU,JLN SENTUL,3.194598743,101.6910257,170;171;180;201
KL643,KL643 MASJID AL-HIDAYAH SENTUL,JLN SENTUL,3.19207346,101.6910158,170;171;180;201
KL644,KL644 PANGSAPURI SENTUL UTARA,JLN SENTUL,3.190131,101.691354,170;171;180;201
,PASAR SENTUL (OPP),JLN SENTUL,3.188571,101.691434,170;201
KL2064,KL2064 SMK CONVENT SENTUL (OPP),JLN SENTUL,3.186882,101.691629,170;201
KL645,KL645 SENTUL BOULEVARD (UTARA),JLN TANAH LAPANG,3.186028681,101.692489,170;171;180;201
KL647,KL647 FENNEL SENTUL,JLN AMRA,3.183666,101.694169,170;171;180;201
KL2065,KL2065 CAPERS SENTUL,JLN ENAM,3.181731,101.693202,170;171;180;201
,D6 SENTUL,JLN SENTUL,3.180778,101.692479,170;180;201
KL665,KL665 SJKC SENTUL KL,JLN SENTUL,3.179894,101.692594,170;171;180;201
KL666,KL666 PERUMAHAN AWAM SERI TERENGGANU,JLN SENTUL,3.175153743,101.6931427,170;171;180;201
KL667,KL667 MRT TITIWANGSA,JLN TUN RAZAK,3.173556,101.695916,170;201
KL668,KL668 HOSPITAL TAWAKAL,JLN PAHANG,3.177278,101.699941,170;200;201;202;250;251;254
KL2500,KL2500 MASJID AMRU SENTUL,JLN 1/48A,3.179908,101.698141,170;201
KL652,KL652 MAKPEM,JLN 1/48A,3.178467,101.698128,170;201
KL2051,KL2051 WISMA HEALTH LANE,JLN SENTUL,3.178321,101.692506,170;171;180;201
KL2052,KL2052 SMK LA SALLE,JLN SENTUL,3.179513,101.692342,170;180;201
,D7 SENTUL,JLN SENTUL,3.180878,101.692244,170;201
KL613,KL613 SENTUL BOULEVARD (BARAT),JLN SENTUL,3.184357,101.691806,170;171;180;201
KL615,KL615 SMK CONVENT SENTUL,JLN SENTUL,3.185997,101.691514,170;171;180;201
KL616,KL616 PASAR SENTUL,JLN SENTUL,3.188646,101.691164,170;171;180;201
KL617,KL617 SK SENTUL 2,JLN SENTUL,3.191789925,101.6907882,170;171;180;201
KL2053,KL2053 BHP SENTUL (OPP),JLN SENTUL,3.194063,101.690715,170;171;180;201
KL1500,KL1500 SJKC SENTUL PENG MING (OPP),JLN SENTUL,3.197294,101.690691,170;171;201
KL992,KL992 KG CHUBADAK TAMBAHAN,JLN KG BANDAR DALAM,3.199917,101.692779,170;201
KL993,KL993 KG CHUBADAK HULU,JLN KG BANDAR DALAM,3.201146,101.694392,170;201
KL1793,KL1793 TAMAN PELANGI,DUKE,3.207640006,101.6934376,170
KL1795,KL1795 TAMAN KOPERASI POLIS,DUKE,3.219586113,101.6937,170
SL468,SL468 RAUDHATUL SAKINAH,JLN L/RAYA KARAK,3.227729,101.697673,170
